iter	Passed	Remaining
410	4147	5943
411	4157	5933
412	4167	5923
413	4177	5912
414	4187	5903
415	4196	5891
416	4206	5881
417	4216	5871
418	4226	5860
419	4236	5850
420	4245	5839
421	4255	5828
422	4264	5817
423	4274	5806
424	4284	5796
425	4294	5785
426	4303	5775
427	4313	5764
428	4322	5753
429	4335	5746
430	4344	5736
431	4354	5725
432	4364	5715
433	4373	5703
434	4383	5693
435	4393	5682
436	4402	5672
437	4412	5661
438	4422	5650
439	4432	5641
440	4441	5630
441	4451	5619
442	4460	5608
443	4471	5599
444	4481	5589
445	4490	5578
446	4500	5568
447	4510	5557
448	4519	5546
449	4530	5536
450	4539	5525
451	4549	5515
452	4558	5504
453	4568	5493
454	4578	5484
455	4588	5473
456	4598	5463
457	4607	5452
458	4617	5441
459	4627	5432
460	4636	5421
461	4646	5410
462	4655	5399
463	4665	5389
464	4676	5380
465	4685	5369
466	4694	5358
467	4704	5347
468	4714	5337
469	4724	5327
470	4735	5319
471	4745	5308
472	4755	5297
473	4768	5291
474	4783	5286
475	4795	5279
476	4806	5269
477	4815	5258
478	4825	5248
479	4834	5237
480	4844	5226
481	4854	5216
482	4864	5206
483	4875	5197
484	4885	5187
485	4895	5177
486	4905	5167
487	4915	5156
488	4924	5146
489	4934	5135
490	4943	5125
491	4954	5115
492	4963	5104
493	4973	5094
494	4982	5083
495	4992	5073
496	5002	5062
497	5011	5052
498	5022	5042
499	5031	5031
500	5040	5020
501	5049	5009
502	5059	4999
503	5070	4989
504	5079	4979
505	5090	4969
506	5099	4958
507	5109	4948
508	5119	4938
509	5129	4928
510	5141	4919
511	5151	4910
512	5161	4899
513	5171	4889
514	5180	4878
515	5190	4868
516	5200	4858
517	5209	4847
518	5219	4837
519	5228	4826
520	5239	4816
521	5250	4807
522	5259	4797
523	5269	4786
524	5279	4776
525	5289	4766
526	5299	4756
527	5309	4746
528	5320	4736
529	5328	4725
530	5338	4715
531	5349	4705
532	5360	4696
533	5371	4687
534	5383	4679
535	5394	4670
536	5406	4661
537	5418	4652
538	5430	4644
539	5441	4635
540	5451	4624
541	5460	4614
542	5469	4603
543	5480	4594
544	5490	4583
545	5499	4573
546	5509	4562
547	5519	4552
548	5531	4543
549	5540	4533
550	5550	4523
551	5561	4513
552	5570	4502
553	5580	4492
554	5589	4481
555	5599	4471
556	5610	4461
