iter	Logloss
0	0.6898970663
1	0.6870893721
2	0.6837085278
3	0.6806861126
4	0.6777335566
5	0.6751873375
6	0.6724947955
7	0.6701153838
8	0.6676656993
9	0.6651127149
10	0.662701617
11	0.6601575461
12	0.6576001743
13	0.6550768736
14	0.6527080813
15	0.6502724077
16	0.647484478
17	0.6451565186
18	0.6430041719
19	0.6409315599
20	0.6386563407
21	0.6364957685
22	0.634300517
23	0.6319735341
24	0.6295223996
25	0.6275523613
26	0.6255342676
27	0.6235172286
28	0.6215514936
29	0.6194313905
30	0.61738648
31	0.6153200737
32	0.6134563852
33	0.6118449488
34	0.6099208356
35	0.6082281225
36	0.606450157
37	0.6048218443
38	0.6031353695
39	0.601439637
40	0.5998962144
41	0.5982242095
42	0.5963687925
43	0.5947642144
44	0.5927255925
45	0.5911075478
46	0.5896029986
47	0.5879214891
48	0.5864754201
49	0.5849708821
50	0.5835242053
51	0.5820380419
52	0.5806472689
53	0.5794463768
54	0.5781884812
55	0.57680008
56	0.5754127548
57	0.5740694215
58	0.5727677039
59	0.5713098757
60	0.5701334992
61	0.5686903709
62	0.5673858379
63	0.5660365064
64	0.5650493535
65	0.563707563
66	0.5623313419
67	0.5612253496
68	0.5599818843
69	0.5589252683
70	0.557470289
71	0.5563914293
72	0.5550581045
73	0.5540253852
74	0.5527273699
75	0.5515061844
76	0.5501522577
77	0.5490469986
78	0.5479621412
79	0.5467576101
80	0.5457185111
81	0.5445590306
82	0.5435818558
83	0.5423536595
84	0.5411269924
85	0.5400402542
86	0.5389807465
87	0.5380637348
88	0.5369212061
89	0.5359162193
90	0.53500458
91	0.5340846739
92	0.5331408766
93	0.5321998917
94	0.5312597492
95	0.5302044607
96	0.5293516519
97	0.528470782
98	0.5272939775
99	0.5263394483
100	0.5251975128
101	0.524115996
102	0.5231597884
103	0.5222197358
104	0.5212943564
105	0.5204065638
106	0.5196588756
107	0.5187168443
108	0.5179939442
109	0.5170734895
110	0.5162624469
111	0.5155241273
112	0.5144051987
113	0.5137324401
114	0.5130260594
115	0.5119679185
116	0.511066679
117	0.5103971769
118	0.5094729445
119	0.5085439464
120	0.5078484343
121	0.5071349067
122	0.5062654098
123	0.5054386582
124	0.5044359123
125	0.5036524379
126	0.5030165104
127	0.5023522991
128	0.5016092905
129	0.5008085883
130	0.5000688722
131	0.4992520619
132	0.4984486833
133	0.4976204839
134	0.4968592041
135	0.4962318771
136	0.4955899128
137	0.4948839883
138	0.4939958002
139	0.4932663
140	0.4926845981
141	0.4918026992
142	0.4909193826
143	0.4901283249
144	0.4893757379
145	0.4888818267
146	0.4880397322
147	0.4873275537
148	0.4866269693
149	0.4859873098
150	0.485282763
151	0.4845391584
152	0.484107529
153	0.4834208513
154	0.4828091457
155	0.4820050719
156	0.4812701899
157	0.4805936461
158	0.4800726528
159	0.4793231086
160	0.4787185242
161	0.4779275299
162	0.4772081117
163	0.4765027099
164	0.4757918562
165	0.475188738
166	0.4745974562
167	0.474102971
168	0.4735089014
169	0.4728386587
170	0.4722691359
171	0.4714539411
172	0.4708711797
173	0.4703509758
174	0.4697417151
175	0.4692397334
176	0.4685976
177	0.4679559741
178	0.4672805606
179	0.4665654758
180	0.4659886475
181	0.4653595702
182	0.4645217397
183	0.4637917951
184	0.4631915501
185	0.4625826393
186	0.4620771551
187	0.4615951501
188	0.4610879765
189	0.460521721
190	0.4598532982
191	0.4591352741
192	0.4586012208
193	0.4577579444
194	0.4572529297
195	0.4566845965
196	0.4560005244
197	0.4553815864
198	0.4548410817
199	0.454401873
200	0.4537479392
201	0.4531838134
202	0.4525587237
203	0.451962157
204	0.451434515
205	0.4509731688
206	0.4504404967
207	0.449722856
208	0.4492907362
209	0.4486776715
210	0.4481850345
211	0.4475440081
212	0.4469663967
213	0.4464927783
214	0.4460207846
215	0.4455194248
216	0.4450523498
217	0.4443549372
218	0.4438138505
219	0.4433883857
220	0.4429188074
221	0.4424070375
222	0.4419542821
223	0.4414084369
224	0.4409464743
225	0.4403859575
226	0.4396599048
227	0.4391598081
228	0.4387204676
229	0.4383717298
230	0.4378173955
231	0.4372949433
232	0.4368571548
233	0.4363877768
234	0.4360014592
235	0.4354799939
236	0.4349133703
237	0.4342778619
238	0.43387579
239	0.433453774
240	0.432918093
241	0.432417004
242	0.4318367493
243	0.4313885873
244	0.4309726024
245	0.4304542683
246	0.4298518915
247	0.429500142
248	0.4291125012
249	0.428593262
250	0.4279761983
251	0.4274859719
252	0.4269064772
253	0.4264636872
254	0.4258934581
255	0.4255197109
256	0.4250828731
257	0.4244364542
258	0.4240465485
259	0.4235194551
260	0.4230075672
261	0.4225971152
262	0.4221013666
263	0.4217013444
264	0.4212645554
265	0.4208683308
266	0.4203723132
267	0.4198696634
268	0.4194016353
269	0.4189282358
270	0.4183590619
271	0.4179323251
272	0.4175467831
273	0.4170399251
274	0.4166182156
275	0.4161737177
276	0.4155765385
277	0.4150849769
278	0.4145620655
279	0.4140018033
280	0.4135614702
281	0.4131240482
282	0.4127312857
283	0.4123544227
284	0.4117766663
285	0.411381931
286	0.4109754445
287	0.410572327
288	0.4102297916
289	0.4097423598
290	0.4093658374
291	0.4090356393
292	0.408671324
293	0.4083492093
294	0.4078630337
295	0.4074151781
296	0.4070245858
297	0.406561411
298	0.4061155093
299	0.4056245759
300	0.4051860103
301	0.4048333264
302	0.4044774629
303	0.4040510741
304	0.403643512
305	0.4031275923
306	0.4027556488
307	0.4023880666
308	0.4020358586
309	0.4014799925
310	0.4010779157
311	0.4006965615
312	0.4003137877
313	0.3999447211
314	0.3995714017
315	0.3991971657
316	0.3987959094
317	0.3983828643
318	0.3980190689
319	0.3975804064
320	0.3971973406
321	0.3968977468
322	0.3965227642
323	0.3961881087
324	0.3957783186
325	0.3954042618
326	0.3949037298
327	0.3944680073
328	0.3940097758
329	0.3936171387
330	0.3931312003
331	0.3927883932
332	0.3922493569
